"자치구별(1)","자치구별(2)",현황별(1),현황별(2),2021
"합계","소계",발생건수 (건),소계,33913
"합계","소계",발생건수 (건),남자,26761
"합계","소계",발생건수 (건),여자,6413
"합계","소계",발생건수 (건),기타불명,739
"합계","소계",사망자수 (명),소계,243
"합계","소계",사망자수 (명),남자,227
"합계","소계",사망자수 (명),여자,16
"합계","소계",부상자수 (명),소계,45223
"합계","소계",부상자수 (명),남자,35785
"합계","소계",부상자수 (명),여자,8645
"합계","소계",부상자수 (명),기타불명,793
"합계","종로구",발생건수 (건),소계,778
"합계","종로구",발생건수 (건),남자,634
"합계","종로구",발생건수 (건),여자,125
"합계","종로구",발생건수 (건),기타불명,19
"합계","종로구",사망자수 (명),소계,6
"합계","종로구",사망자수 (명),남자,6
"합계","종로구",사망자수 (명),여자,-
"합계","종로구",부상자수 (명),소계,1050
"합계","종로구",부상자수 (명),남자,845
"합계","종로구",부상자수 (명),여자,185
"합계","종로구",부상자수 (명),기타불명,20
"합계","중구",발생건수 (건),소계,854
"합계","중구",발생건수 (건),남자,715
"합계","중구",발생건수 (건),여자,124
"합계","중구",발생건수 (건),기타불명,15
"합계","중구",사망자수 (명),소계,3
"합계","중구",사망자수 (명),남자,3
"합계","중구",사망자수 (명),여자,-
"합계","중구",부상자수 (명),소계,1156
"합계","중구",부상자수 (명),남자,970
"합계","중구",부상자수 (명),여자,171
"합계","중구",부상자수 (명),기타불명,15
"합계","용산구",발생건수 (건),소계,1014
"합계","용산구",발생건수 (건),남자,812
"합계","용산구",발생건수 (건),여자,173
"합계","용산구",발생건수 (건),기타불명,29
"합계","용산구",사망자수 (명),소계,5
"합계","용산구",사망자수 (명),남자,5
"합계","용산구",사망자수 (명),여자,-
"합계","용산구",부상자수 (명),소계,1369
"합계","용산구",부상자수 (명),남자,1079
"합계","용산구",부상자수 (명),여자,260
"합계","용산구",부상자수 (명),기타불명,30
"합계","성동구",발생건수 (건),소계,1057
"합계","성동구",발생건수 (건),남자,833
"합계","성동구",발생건수 (건),여자,197
"합계","성동구",발생건수 (건),기타불명,27
"합계","성동구",사망자수 (명),소계,8
"합계","성동구",사망자수 (명),남자,7
"합계","성동구",사망자수 (명),여자,1
"합계","성동구",부상자수 (명),소계,1362
"합계","성동구",부상자수 (명),남자,1072
"합계","성동구",부상자수 (명),여자,260
"합계","성동구",부상자수 (명),기타불명,30
"합계","광진구",발생건수 (건),소계,922
"합계","광진구",발생건수 (건),남자,738
"합계","광진구",발생건수 (건),여자,146
"합계","광진구",발생건수 (건),기타불명,38
"합계","광진구",사망자수 (명),소계,4
"합계","광진구",사망자수 (명),남자,4
"합계","광진구",사망자수 (명),여자,-
"합계","광진구",부상자수 (명),소계,1216
"합계","광진구",부상자수 (명),남자,959
"합계","광진구",부상자수 (명),여자,217
"합계","광진구",부상자수 (명),기타불명,40
"합계","동대문구",발생건수 (건),소계,1390
"합계","동대문구",발생건수 (건),남자,1152
"합계","동대문구",발생건수 (건),여자,222
"합계","동대문구",발생건수 (건),기타불명,16
"합계","동대문구",사망자수 (명),소계,17
"합계","동대문구",사망자수 (명),남자,17
"합계","동대문구",사망자수 (명),여자,-
"합계","동대문구",부상자수 (명),소계,1656
"합계","동대문구",부상자수 (명),남자,1374
"합계","동대문구",부상자수 (명),여자,266
