"자치구별(1)","자치구별(2)","사고유형별(1)",사고유형별(2),구분별(1),2021
"합계","소계","합계",소계,발생건수 (건),33913
"합계","소계","합계",소계,사망자수 (명),243
"합계","소계","합계",소계,부상자수 (명),45223
"합계","소계","차대사람",소계,발생건수 (건),7075
"합계","소계","차대사람",소계,사망자수 (명),120
"합계","소계","차대사람",소계,부상자수 (명),7332
"합계","소계","차대차",소계,발생건수 (건),25926
"합계","소계","차대차",소계,사망자수 (명),92
"합계","소계","차대차",소계,부상자수 (명),36909
"합계","소계","차량단독",소계,발생건수 (건),912
"합계","소계","차량단독",소계,사망자수 (명),31
"합계","소계","차량단독",소계,부상자수 (명),982
"합계","종로구","합계",소계,발생건수 (건),778
"합계","종로구","합계",소계,사망자수 (명),6
"합계","종로구","합계",소계,부상자수 (명),1050
"합계","종로구","차대사람",소계,발생건수 (건),182
"합계","종로구","차대사람",소계,사망자수 (명),4
"합계","종로구","차대사람",소계,부상자수 (명),189
"합계","종로구","차대차",소계,발생건수 (건),560
"합계","종로구","차대차",소계,사망자수 (명),1
"합계","종로구","차대차",소계,부상자수 (명),821
"합계","종로구","차량단독",소계,발생건수 (건),36
"합계","종로구","차량단독",소계,사망자수 (명),1
"합계","종로구","차량단독",소계,부상자수 (명),40
"합계","중구","합계",소계,발생건수 (건),854
"합계","중구","합계",소계,사망자수 (명),3
"합계","중구","합계",소계,부상자수 (명),1156
"합계","중구","차대사람",소계,발생건수 (건),173
"합계","중구","차대사람",소계,사망자수 (명),2
"합계","중구","차대사람",소계,부상자수 (명),183
"합계","중구","차대차",소계,발생건수 (건),655
"합계","중구","차대차",소계,사망자수 (명),-
"합계","중구","차대차",소계,부상자수 (명),948
"합계","중구","차량단독",소계,발생건수 (건),26
"합계","중구","차량단독",소계,사망자수 (명),1
"합계","중구","차량단독",소계,부상자수 (명),25
"합계","용산구","합계",소계,발생건수 (건),1014
"합계","용산구","합계",소계,사망자수 (명),5
"합계","용산구","합계",소계,부상자수 (명),1369
"합계","용산구","차대사람",소계,발생건수 (건),174
"합계","용산구","차대사람",소계,사망자수 (명),2
"합계","용산구","차대사람",소계,부상자수 (명),181
"합계","용산구","차대차",소계,발생건수 (건),813
"합계","용산구","차대차",소계,사망자수 (명),1
"합계","용산구","차대차",소계,부상자수 (명),1162
"합계","용산구","차량단독",소계,발생건수 (건),27
"합계","용산구","차량단독",소계,사망자수 (명),2
"합계","용산구","차량단독",소계,부상자수 (명),26
"합계","성동구","합계",소계,발생건수 (건),1057
"합계","성동구","합계",소계,사망자수 (명),8
"합계","성동구","합계",소계,부상자수 (명),1362
"합계","성동구","차대사람",소계,발생건수 (건),245
"합계","성동구","차대사람",소계,사망자수 (명),5
"합계","성동구","차대사람",소계,부상자수 (명),250
"합계","성동구","차대차",소계,발생건수 (건),784
"합계","성동구","차대차",소계,사망자수 (명),1
"합계","성동구","차대차",소계,부상자수 (명),1084
"합계","성동구","차량단독",소계,발생건수 (건),28
"합계","성동구","차량단독",소계,사망자수 (명),2
"합계","성동구","차량단독",소계,부상자수 (명),28
"합계","광진구","합계",소계,발생건수 (건),922
"합계","광진구","합계",소계,사망자수 (명),4
"합계","광진구","합계",소계,부상자수 (명),1216
"합계","광진구","차대사람",소계,발생건수 (건),207
"합계","광진구","차대사람",소계,사망자수 (명),2
"합계","광진구","차대사람",소계,부상자수 (명),210
"합계","광진구","차대차",소계,발생건수 (건),693
"합계","광진구","차대차",소계,사망자수 (명),1
"합계","광진구","차대차",소계,부상자수 (명),984
"합계","광진구","차량단독",소계,발생건수 (건),22
"합계","광진구","차량단독",소계,사망자수 (명),1
"합계","광진구","차량단독",소계,부상자수 (명),22
"합계","동대문구","합계",소계,발생건수 (건),1390
"합계","동대문구","합계",소계,사망자수 (명),17
"합계","동대문구","합계",소계,부상자수 (명),1656
"합계","동대문구","차대사람",소계,발생건수 (건),311
"합계","동대문구","차대사람",소계,사망자수 (명),11
"합계","동대문구","차대사람",소계,부상자수 (명),305
"합계","동대문구","차대차",소계,발생건수 (건),1048
"합계","동대문구","차대차",소계,사망자수 (명),5
"합계","동대문구","차대차",소계,부상자수 (명),1321
"합계","동대문구","차량단독",소계,발생건수 (건),31
"합계","동대문구","차량단독",소계,사망자수 (명),1
"합계","동대문구","차량단독",소계,부상자수 (명),30
"합계","중랑구","합계",소계,발생건수 (건),1373
"합계","중랑구","합계",소계,사망자수 (명),7
"합계","중랑구","합계",소계,부상자수 (명),1826
"합계","중랑구","차대사람",소계,발생건수 (건),332
"합계","중랑구","차대사람",소계,사망자수 (명),6
"합계","중랑구","차대사람",소계,부상자수 (명),349
"합계","중랑구","차대차",소계,발생건수 (건),1000
"합계","중랑구","차대차",소계,사망자수 (명),-
"합계","중랑구","차대차",소계,부상자수 (명),1432
"합계","중랑구","차량단독",소계,발생건수 (건),41
"합계","중랑구","차량단독",소계,사망자수 (명),1
"합계","중랑구","차량단독",소계,부상자수 (명),45
"합계","성북구","합계",소계,발생건수 (건),1285
"합계","성북구","합계",소계,사망자수 (명),15
"합계","성북구","합계",소계,부상자수 (명),1606
"합계","성북구","차대사람",소계,발생건수 (건),295
"합계","성북구","차대사람",소계,사망자수 (명),4
"합계","성북구","차대사람",소계,부상자수 (명),304
"합계","성북구","차대차",소계,발생건수 (건),948
"합계","성북구","차대차",소계,사망자수 (명),8
"합계","성북구","차대차",소계,부상자수 (명),1256
"합계","성북구","차량단독",소계,발생건수 (건),42
"합계","성북구","차량단독",소계,사망자수 (명),3
"합계","성북구","차량단독",소계,부상자수 (명),46
"합계","강북구","합계",소계,발생건수 (건),1017
"합계","강북구","합계",소계,사망자수 (명),6
"합계","강북구","합계",소계,부상자수 (명),1302
"합계","강북구","차대사람",소계,발생건수 (건),259
"합계","강북구","차대사람",소계,사망자수 (명),5
"합계","강북구","차대사람",소계,부상자수 (명),269
"합계","강북구","차대차",소계,발생건수 (건),730
"합계","강북구","차대차",소계,사망자수 (명),1
"합계","강북구","차대차",소계,부상자수 (명),1000
"합계","강북구","차량단독",소계,발생건수 (건),28
"합계","강북구","차량단독",소계,사망자수 (명),-
"합계","강북구","차량단독",소계,부상자수 (명),33
"합계","도봉구","합계",소계,발생건수 (건),591
"합계","도봉구","합계",소계,사망자수 (명),3
"합계","도봉구","합계",소계,부상자수 (명),768
"합계","도봉구","차대사람",소계,발생건수 (건),167
"합계","도봉구","차대사람",소계,사망자수 (명),1
"합계","도봉구","차대사람",소계,부상자수 (명),181
"합계","도봉구","차대차",소계,발생건수 (건),395
"합계","도봉구","차대차",소계,사망자수 (명),2
"합계","도봉구","차대차",소계,부상자수 (명),554
"합계","도봉구","차량단독",소계,발생건수 (건),29
"합계","도봉구","차량단독",소계,사망자수 (명),-
"합계","도봉구","차량단독",소계,부상자수 (명),33
"합계","노원구","합계",소계,발생건수 (건),1413
"합계","노원구","합계",소계,사망자수 (명),8
"합계","노원구","합계",소계,부상자수 (명),1940
"합계","노원구","차대사람",소계,발생건수 (건),280
"합계","노원구","차대사람",소계,사망자수 (명),2
"합계","노원구","차대사람",소계,부상자수 (명),298
"합계","노원구","차대차",소계,발생건수 (건),1078
"합계","노원구","차대차",소계,사망자수 (명),-
"합계","노원구","차대차",소계,부상자수 (명),1588
"합계","노원구","차량단독",소계,발생건수 (건),55
"합계","노원구","차량단독",소계,사망자수 (명),6
"합계","노원구","차량단독",소계,부상자수 (명),54
"합계","은평구","합계",소계,발생건수 (건),867
"합계","은평구","합계",소계,사망자수 (명),11
